"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1941","","","","1","0","Nacionalización del principal generador de energía eléctrica ","1","0"
"1954","Decreto legislativo No 102 del 09/08/1954. O.G. No 239 del 10/23/1954","39516161.0","http://www.iadb.org/document.cfm?id=39516161","1","0","Creación de la ENALUF ","1","0"
"1979","Decreto No 16 de 07/23/1979. G.O. No 2 de 08/23/1979","38241625.0","http://www.iadb.org/document.cfm?id=38241625","1","0","Creación del Instituto Nacional de Electricidad (INE) ","1","0"
"1979","Decreto No 135 del 10/31/1979. G.O. No 48 del 11/03/1979","38241626.0","http://www.iadb.org/document.cfm?id=38241626","1","0","Creación de Petronic ","0","1"
"1981","Decreto No 902 del 05/09/1981. G.O. No 286 del 05/09/1981","38241630.0","http://www.iadb.org/document.cfm?id=38241630","1","0","INE asume el control administrativo de Petronic","0","1"
"1981","Decreto No 902 del 12/16/1981. G.O. No 286 del 12/16/1981","38241630.0","http://www.iadb.org/document.cfm?id=38241630","0","1","Promulgación de la ley orgánica de Petronic","0","1"
"1985","Decreto No 87 del 05/23/1985. G.O. No 106 del 06/06/1985","38241631.0","http://www.iadb.org/document.cfm?id=38241631","0","1","Promulgación de la ley orgánica del Instituto Nacional de Electricidad (INE)","1","1"
"1992","Decreto No 25-92 del 04/06/1992. G.O No 80 del 04/28/1992","38241632.0","http://www.iadb.org/document.cfm?id=38241632","1","1","Reforma de la ley orgánica del INE ","1","1"
"1994","Decreto No 46-94 del 10/28/1994. G.O No 204 del 11/01/1994","38241635.0","http://www.iadb.org/document.cfm?id=38241635","1","0","Creación de la Empresa Nicaraguense de Electricidad (Enel) ","1","0"
"1994","Decreto No 56-94 del 12/22/1994. G.O. No 240 del 12/22/1994","38241637.0","http://www.iadb.org/document.cfm?id=38241637","1","0","Regulación de la importación y comercialización de hidrocarburos  ","0","1"
"1995","Decreto No 26-95 del 06/14/1995. G.O. No 118 del 06/26/1995","38241638.0","http://www.iadb.org/document.cfm?id=38241638","1","1","Reforma de la ley orgánica de Petronic ","0","1"
"1995","Decreto No 30-95 del 06/14/1995. G.O. No 118 del 06/26/1995","38241547.0","http://www.iadb.org/document.cfm?id=38241547","1","1","Reforma de la ley orgánica del INE ","1","1"
"1997","Ley No 277 del 11/26/1997. G.O. No 25 del 02/06/1998","39516560.0","http://www.iadb.org/document.cfm?id=39516560","0","1","Ley para regular el suministro de hidrocarburos ","0","1"
"1998","Ley No 271 del 03/03/1998. G.O. No 63 del 04/01/1998","38241548.0","http://www.iadb.org/document.cfm?id=38241548","0","1","Reforma de la ley orgánica del INE ","1","1"
"1998","Ley No 286 del 03/18/1998. G.O. No 109 del 06/12/1998","38241553.0","http://www.iadb.org/document.cfm?id=38241553","0","1","Regula la exploración y producción de petróleo crudo  ","0","1"
"1998","Ley No 272 del 03/18/1998. G.O. No 74 del 04/23/1998","38241550.0","http://www.iadb.org/document.cfm?id=38241550","1","1","Promulga la ley de la industria de energía eléctrica ","1","0"
"1999","Decreto No 128-99 del 12/14/1999. G.O. No 240 del 12/16/1999","38241584.0","http://www.iadb.org/document.cfm?id=38241584","1","0","Reestructura Enel y ordena su privatización ","1","0"
"2000","","","","1","0","Privatiza dos compañías de distribución, DISNORTE y DISSUR ","1","0"
"2002","Ley No 443 del 10/24/2002. G.O. No 222 del 11/21/2002","38241585.0","http://www.iadb.org/document.cfm?id=38241585","0","1","Regula la exploración y la exploitación de recursos geotérmicos","1","0"
"2002","","","","1","0","Privatiza la compañía de generación, GEOSA ","1","0"
"2003","Ley No 404 del 07/09/2003. G.O. No 150 del 08/11/2003","38241594.0","http://www.iadb.org/document.cfm?id=38241594","1","1","Prohibe concesiones para el uso de agua ","1","0"
"2003","Ley No 467 del 07/09/2003. G.O. No 169 del 09/05/2003","38241595.0","http://www.iadb.org/document.cfm?id=38241595","0","1","Avanza el sector hidroeléctrico ","1","0"
"2004","Ley No 494 del 07/01/2004. G.O. No 243 del 12/15/2004","38241602.0","http://www.iadb.org/document.cfm?id=38241602","1","0","Reforma de la ley de la industria de energía eléctrica  ","1","0"
"2005","Ley No 554 del 11/03/2005. G.O. No 224 del 11/18/2005","38241607.0","http://www.iadb.org/document.cfm?id=38241607","1","1","Ley de la estabilidad de energía ","1","1"
"2005","Ley No 532 del 04/13/2005. G.O. No 102 del 05/27/2005","38241603.0","http://www.iadb.org/document.cfm?id=38241603","0","1","Promueve el uso de fuentes renovables en la generación de energía eléctrica  ","1","0"
"2006","Ley No 583 del 11/16/2006. G.O. No 04 del 01/05/2007","38241608.0","http://www.iadb.org/document.cfm?id=38241608","1","0","Crea la Empresa Nacional de Transmisión Electrica (Enatrel)","1","0"
"2006","Ley No 600 del 09/27/2006. G.O. No 199 del 10/13/2006","39385440.0","http://www.iadb.org/document.cfm?id=39385440","1","1","Ley de Reformas y Adiciones a la Ley de Estabilidad Energética","1","1"
"2007","Ley No 612 del 01/24/2007. G.O. No 20 del 01/29/2007","38241616.0","http://www.iadb.org/document.cfm?id=38241616","1","0","Crea el Ministerio de Energia y Minas (MEM) ","1","1"
"2007","Ley No 627 del 06/28/2007. G.O. No 132 del 07/12/2007","39385544.0","http://www.iadb.org/document.cfm?id=39385544","1","1","Ley de Reformas y Adiciones a la Ley de Estabilidad Energética","1","1"
"2007","Decreto No 5117 del 03/27/2007. G.O. No 67 del 04/11/2007","38241615.0","http://www.iadb.org/document.cfm?id=38241615","1","0","Nicaragua se une al Acuerdo Petrocaribe con Venezuela","1","1"
"2008","Ley No 644 del 01/24/2008. G.O. No 22 del 01/31/2008","39385553.0","http://www.iadb.org/document.cfm?id=39385553","1","1","Ley de Reformas a la Ley de Estabilidad Energética","1","1"
"2008","Ley No 656 del 06/04/2008. G.O. No 217 del 11/13/2008","39385694.0","http://www.iadb.org/document.cfm?id=39385694","0","1","Ley de Reformas a la Ley de Estabilidad Energética","1","0"
"2008","Ley No 661 del 06/12/2008. G.O. No 143 del 07/28/2008","38241621.0","http://www.iadb.org/document.cfm?id=38241621","0","1","Ley del la distribución y uso responsable de energía eléctrica ","1","0"
"2008","Ley No 667 del 08/13/2008. G.O. No 161 del 08/21/2008","39385702.0","http://www.iadb.org/document.cfm?id=39385702","1","1","Ley de Reforma del Artículo 4 de la Ley de Estabilidad Energética","1","0"
"2008","Ley No 672 del 10/2/2008. G.O. No 200 del 10/17/2008","39385718.0","http://www.iadb.org/document.cfm?id=39385718","1","0","Ley de Reforma a la Ley de Estabilidad Energética","1","1"
"2009","Ley No 682 del 06/30/2009. G.O. No 91 del 05/19/2009","38241623.0","http://www.iadb.org/document.cfm?id=38241623","0","1","Reforma de las leyes No 272 y No 554 ","1","1"
"2009","Ley No 695 del 07/01/2009. G.O. No 140 del 07/28/2009","39385741.0","http://www.iadb.org/document.cfm?id=39385741","1","0","Ley Especial para el Desarrollo del Proyecto Hidroeléctrico TUMARIN","1","0"
"2010","Ley No 714 del 12/03/2009. G.O. No 14 del 01/21/2010","39385761.0","http://www.iadb.org/document.cfm?id=39385761","1","0","Ley de Reforma a la Ley No. 443","1","0"
"2010","Ley No 728 del 06/30/2010. G.O. No 147 del 08/04/2010","39385765.0","http://www.iadb.org/document.cfm?id=39385765","0","1","Ley de Reformas a la Ley No. 272 y a la Ley No. 554","1","0"
"2011","Ley No 746 del 12/01/2010. G.O. No 17 del 01/27/2011","39385786.0","http://www.iadb.org/document.cfm?id=39385786","1","1","Ley de Reforma al Decreto Ejecutivo No. 46-94, a las Leyes No. 272 y No. 554","1","0"
