"player","acronym","public","role","product","marketshare"
"Ministerio de Hidrocarburos","MH","1","Policy","N/A","0.0"
"Ministerio de Hidrocarburos","MH","1","Regulation","N/A","0.0"
"Ministerio de Hidrocarburos","MH","1","Exploration/Production","Natural Gas","0.0"
"Ministerio de Hidrocarburos","MH","1","Exploration/Production","Crude Oil","0.0"
"Ministerio de Hidrocarburos","MH","1","Transformation","Natural Gas","0.0"
"Ministerio de Hidrocarburos","MH","1","Transformation","Oil Derivatives","0.0"
"Ministerio de Hidrocarburos","MH","1","Transformation","LPG","0.0"
"Ministerio de Hidrocarburos","MH","1","Transportation","Natural Gas","0.0"
"Ministerio de Hidrocarburos","MH","1","Transportation","Oil Derivatives","0.0"
"Ministerio de Hidrocarburos","MH","1","Transportation","LPG","0.0"
"Ministerio de Hidrocarburos","MH","1","Distribution/Final Sale","Natural Gas","0.0"
"Ministerio de Hidrocarburos","MH","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Ministerio de Hidrocarburos","MH","1","Distribution/Final Sale","LPG","0.0"
"Ministerio de Hidrocarburos","MH","1","Imports","Natural Gas","0.0"
"Ministerio de Hidrocarburos","MH","1","Imports","Crude Oil","0.0"
"Ministerio de Hidrocarburos","MH","1","Imports","Oil Derivatives","0.0"
"Ministerio de Hidrocarburos","MH","1","Imports","LPG","0.0"
"Ministerio de Hidrocarburos","MH","1","Exports","Natural Gas","0.0"
"Ministerio de Hidrocarburos","MH","1","Exports","Crude Oil","0.0"
"Ministerio de Hidrocarburos","MH","1","Exports","Oil Derivatives","0.0"
"Ministerio de Hidrocarburos","MH","1","Exports","LPG","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Regulation","N/A","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Exploration/Production","Natural Gas","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Exploration/Production","Crude Oil","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Transformation","Natural Gas","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Transformation","Oil Derivatives","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Transformation","LPG","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Transportation","Natural Gas","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Transportation","Oil Derivatives","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Transportation","LPG","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Distribution/Final Sale","Natural Gas","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Agencia de Regulación y Control Hidrocarburífero","ARCH","1","Distribution/Final Sale","LPG","0.0"
"Secretaria de Hidrocarburos","SHE","1","Regulation","N/A","0.0"
"Secretaria de Hidrocarburos","SHE","1","Exploration/Production","Natural Gas","0.0"
"Secretaria de Hidrocarburos","SHE","1","Exploration/Production","Crude Oil","0.0"
"Secretaria de Hidrocarburos","SHE","1","Transformation","Natural Gas","0.0"
"Secretaria de Hidrocarburos","SHE","1","Transformation","Oil Derivatives","0.0"
"Secretaria de Hidrocarburos","SHE","1","Transformation","LPG","0.0"
"Secretaria de Hidrocarburos","SHE","1","Transportation","Natural Gas","0.0"
"Secretaria de Hidrocarburos","SHE","1","Transportation","Oil Derivatives","0.0"
"Secretaria de Hidrocarburos","SHE","1","Transportation","LPG","0.0"
"Secretaria de Hidrocarburos","SHE","1","Exports","Crude Oil","0.11"
"PetroAmazonas EP","","1","Exploration/Production","Natural Gas","1.0"
"PetroAmazonas EP","","1","Exploration/Production","Crude Oil","0.62"
"Compañía Operaciones Rio Napo","","1","Exploration/Production","Crude Oil","0.13"
"Repsol","","0","Exploration/Production","Crude Oil","0.07"
"Andes Petroleum","","0","Exploration/Production","Crude Oil","0.06"
"ENI Agip","ENI","0","Exploration/Production","Crude Oil","0.02"
"Other Crude Oil production companies","","0","Exploration/Production","Crude Oil","0.1"
"Other Crude Oil production companies","","0","Transformation","LPG","0.0"
"EP Petroecuador","","1","Transformation","Oil Derivatives","1.0"
"EP Petroecuador","","1","Transformation","LPG","0.95"
"EP Petroecuador","","1","Transportation","Natural Gas","1.0"
"EP Petroecuador","","1","Transportation","Oil Derivatives","1.0"
"EP Petroecuador","","1","Transportation","LPG","1.0"
"EP Petroecuador","","1","Distribution/Final Sale","Natural Gas","1.0"
"EP Petroecuador","","1","Distribution/Final Sale","Oil Derivatives","0.23"
"EP Petroecuador","","1","Distribution/Final Sale","LPG","0.01"
"EP Petroecuador","","1","Imports","Oil Derivatives","1.0"
"EP Petroecuador","","1","Imports","LPG","1.0"
"EP Petroecuador","","1","Exports","Crude Oil","0.89"
"EP Petroecuador","","1","Exports","Oil Derivatives","1.0"
"Other private LPG production companies","","0","Transformation","LPG","0.05"
