"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1936","Decree Nº 177 of 01/02/1936. D.O. Nº 4 volume 120 of 01/06/1936","38241148.0","http://www.iadb.org/document.cfm?id=38241148","1","1","Basic law of electricity systems","1","0"
"1945","Executive Decree of 10/03/1945. D.O. Nº 219 volume 139 of 10/08/1945","38241116.0","http://www.iadb.org/document.cfm?id=38241116","1","1","Creates the Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL)","1","0"
"1948","Legislative Decree Nº 137 of 09/18/1948. O.G Nº 210 volume 145 of 09/27/1948 ","38241119.0","http://www.iadb.org/document.cfm?id=38241119","1","1","Law of the Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL)","1","0"
"1970","Decree Nº 169 of 11/30/1970. D.O. Nº 235 volume 229 of 12/23/1970","38241120.0","http://www.iadb.org/document.cfm?id=38241120","1","1","Regulates the storage, transport, and distribution of petroleum products","0","1"
"1981","Decree Nº 626 of 03/17/1981. D.O. Nº 52 volume 270 of 03/17/1981","38241122.0","http://www.iadb.org/document.cfm?id=38241122","0","1","Hydrocarbon Law","0","1"
"1992","Signature of the Chapultepec Accord on 01/16/1992","","","1","0","End of the civil war and beginning of the economic liberalization programs","1","1"
"1996","Decree Nº 808 of 09/19/1996. D.O. Nº 189 volume 33 of 10/09/1996","38241126.0","http://www.iadb.org/document.cfm?id=38241126","0","1","Creates the Superintendencia de Electricidad y Telecomunicaciones (SIGET)","1","0"
"1996","Decree Nº 843 of 10/21/1996. D.O. Nº 201 volume 333 of 10/25/1996","38241123.0","http://www.iadb.org/document.cfm?id=38241123","1","1","General electricity law (GEL)","1","0"
"1998","","","","0","1","Creates the company Unidad de Transacciones (UT)","1","0"
"1998","Decree Nº 354 of 07/20/1998. D.O. Nº 142 volume 340 of 07/29/1998","39523413.0","http://www.iadb.org/document.cfm?id=39523413","1","0","Creates the Fondo de Inversiones en Electricidad y Telecomunicaciones (FINET)","1","0"
"1999","","","","1","0","Privatizes CEL's thermal power plants to Duke Energy ","1","0"
"1999","","","","1","0","Creates Geotérmica Salvadoreña (LaGeo)","1","0"
"1999","","","","1","0","Creates the Empresa de Electricidad de El Salvador (ETESAL)","1","0"
"2000","Executive Decree Nº 90 of 10/24/2000. D.O. of 11/01/2000","39556994.0","http://www.iadb.org/document.cfm?id=39556994","1","1","Approves the norms that allow the free commercialization of electricity","1","0"
"2001","","","","1","0","Creates the Dirección de Energía Eléctrica at the Ministerio de Economía","1","0"
"2002","","","","1","0","Enel Green Power, a privately owned Italian company, buys assets in LaGeo","1","0"
"2003","Legislative Decree Nº 1216 of 04/11/2003. D.O. Nº 83 volume 359 of 05/09/2003","38241131.0","http://www.iadb.org/document.cfm?id=38241131","1","1","Reforms GEL","1","0"
"2003","Agreement Nº 616 of 07/15/2003. D.O. Nº 131 volume 360 of 07/16/2003","38241127.0","http://www.iadb.org/document.cfm?id=38241127","1","0","Liberalizes prices for all oil products except for LPG","0","1"
"2004","Decree Nº 528 of 12/22/2004. D.O. Nº 240 volume 365 of 12/23/2004","38241135.0","http://www.iadb.org/document.cfm?id=38241135","0","1","Reduces SIGET's responsibilites related to anticompetitive practices","1","0"
"2007","Legislative Decree Nº 404 of 08/30/2007. D.O. Nº 181 volume 377 of 01/10/2007","38241137.0","http://www.iadb.org/document.cfm?id=38241137","1","0","Creates the Consejo Nacional de Energía (CNE) ","1","1"
"2007","Legislative Decree Nº 462 of 11/08/2007. D.O. Nº 462 volume 377 of 12/20/2007","39557128.0","http://www.iadb.org/document.cfm?id=39557128","1","0","Tax incentive law to promote renewable energy","1","0"
"2008","Decree Nº 630 of 05/22/2008. D.O. Nº 115 volume 379 of 06/20/2008","38241142.0","http://www.iadb.org/document.cfm?id=38241142","0","1","Governs the natural gas market ","0","1"
