"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1990","Law 1182 of 1990","","","1","0","See spanish tab ","0","1"
"1994","Law 1600 of 1994","","","1","1","See spanish tab ","1","1"
"1994","Law 1544 of 1994","","","1","0","See spanish tab ","1","1"
"1994","Law 1604 of 1994","","","1","1","See spanish tab ","1","0"
"1995","Supreme Decree 24043 of 1995","","","1","1","See spanish tab ","1","0"
"1996","Law 1689 of 1996","","","1","1","See spanish tab ","0","1"
"1997","Supreme Decree 24914 of 1997","","","1","1","See spanish tab ","0","1"
"1997","Supreme Decree 24772 of 1997","","","1","1","See spanish tab ","1","0"
"2000","Supreme Decree 26037 of 2000","","","1","1","See spanish tab ","1","0"
"2001","Law 26094 of 2001","","","1","1","See spanish tab ","1","0"
"2002","Supreme Decree 26607 of 2002","","","1","1","See spanish tab ","1","0"
"2004","Supreme Decree 27507 of 2004","","","1","0","See spanish tab ","0","1"
"2004","Supreme Decree 27343 of 2004","","","1","1","See spanish tab ","0","1"
"2005","Law 3058 of 2005","","","1","1","See spanish tab ","0","1"
"2005","Supreme Decree 28291 of 2005","","","1","1","See spanish tab ","0","1"
"2005","Supreme Decree 28324 of 2005","","","1","0","See spanish tab ","0","1"
"2006","Supreme Decree 28701 of 2006","","","1","0","See spanish tab ","0","1"
"2006","Supreme Decree 28653 of 2006","","","1","1","See spanish tab ","1","0"
"2007","Supreme Decree 29272 of 2007","","","1","0","See spanish tab ","1","1"
"2007","Supreme Decree 29158 of 2007","","","0","1","See spanish tab ","0","1"
"2007","Supreme Decree 29130 of 2007","","","1","0","See spanish tab ","0","1"
"2007","Supreme Decree 29018 of 2007","","","1","1","See spanish tab ","0","1"
"2008","Supreme Decree 29635 of 2008","","","1","0","See spanish tab ","1","0"
"2008","Supreme Decree 29644 of 2008","","","1","0","See spanish tab ","1","0"
"2009","Nacional Constitution of State 2009","","","1","1","See spanish tab ","1","1"
"2009","Supreme Decree 29894 of 2009","","","1","0","See spanish tab ","1","1"
"2009","Supreme Decree 0071 of 2009","","","1","0","See spanish tab ","1","0"
"2009","Administrative Resolution 474 of 2009","","","1","0","See spanish tab ","0","1"
"2010","Supreme Decree 493 of 2010","","","1","0","See spanish tab ","1","0"
"2010","Supreme Decree 465 of 2010","","","1","1","See spanish tab ","1","0"
"2013","Law 466 of 2013","","","1","1","See spanish tab ","1","1"
"2013","Supreme Decree 1344 of 2013","","","1","1","See spanish tab ","0","1"
"2013","Supreme Decree 1517 of 2013","","","1","0","See spanish tab ","1","0"
"2013","Supreme Decree 1536 of 2013","","","1","1","See spanish tab ","1","0"
"2014","Supreme Decree 1996 of 2014","","","1","1","See spanish tab ","0","1"
"2014","Supreme Decree 1908 of 2014","","","1","1","See spanish tab ","0","1"
"2014","Supreme Decree 2103 of 2014","","","1","1","See spanish tab ","0","1"
"2014","Supreme Decree 1948 of 2014","","","1","1","See spanish tab ","1","0"
"2015","Supreme Decree 2255 of 2015","","","0","1","See spanish tab ","0","1"
