"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1955","Law 12378 of 1955","","","1","1","See spanish tab ","1","0"
"1969","Decree Law 17753 of 1969","","","1","0","See spanish tab ","0","1"
"1972","Law 19521 of 1972","","","1","0","See spanish tab ","1","0"
"1982","Law 23406 of 1982","","","1","1","See spanish tab ","1","0"
"1992","Law 25962 of 1992","","","1","0","See spanish tab ","1","1"
"1992","Law 25844 of 1992","","","1","1","See spanish tab ","1","0"
"1993","National Constitution of the Republic of Perú","","","1","0","See spanish tab ","1","1"
"1993","Law 26221 of 1993","","","1","1","See spanish tab ","0","1"
"1993","Law 26225 of 1993","","","1","0","See spanish tab ","0","1"
"1994","Supreme Decree 001 of 1994","","","0","1","See spanish tab ","0","1"
"1996","Law 26734 of 1996","","","1","0","See spanish tab ","1","1"
"1997","Law 26821 of 1997","","","1","1","See spanish tab ","1","1"
"1997","Law 26876 of 1997","","","1","1","See spanish tab ","1","0"
"1999","Law 27133 of 1999","","","1","0","See spanish tab ","0","1"
"2000","Law 27332 of 2000","","","1","1","See spanish tab ","1","1"
"2000","Law 27345 of 2000","","","1","0","See spanish tab ","1","1"
"2000","Supreme Decree 017 of 2000","","","0","1","See spanish tab ","1","0"
"2000","Law 27377 of 2000","","","1","1","See spanish tab ","0","1"
"2001","Law 27506 of 2001","","","1","1","See spanish tab ","1","1"
"2001","Law 27510 of 2001","","","1","0","See spanish tab ","1","0"
"2002","Law 27624 of 2002","","","0","1","See spanish tab ","0","1"
"2003","Law 28109 of 2003","","","1","1","See spanish tab ","0","1"
"2004","Law  28451 of 2004","","","1","1","See spanish tab ","0","1"
"2005","Supreme Decree 063 of 2005","","","1","1","See spanish tab ","0","1"
"2006","Law 28694 of 2006","","","1","1","See spanish tab ","1","0"
"2006","Law 28832 of 2006","","","1","1","See spanish tab ","1","0"
"2006","Law 28840 of 2006","","","1","0","See spanish tab ","0","1"
"2006","Law 28849 of 2006","","","1","0","See spanish tab ","0","1"
"2008","Legislative Decree 1002 of 2008","","","1","1","See spanish tab ","1","0"
"2010","Supreme Decree 064 of 2010","","","1","0","See spanish tab ","1","1"
"2011","Law 29817 of 2011","","","1","0","See spanish tab ","0","1"
"2012","Law 29970 of 2012","","","1","0","See spanish tab ","1","1"
"2012","Law 29969 of 2012","","","1","1","See spanish tab ","1","1"
"2012","Law 29852 of 2012","","","1","1","See spanish tab ","1","1"
"2013","Law 30130 of 2013","","","1","0","See spanish tab ","0","1"
"2013","Supreme Decree 029 of 2013","","","1","0","See spanish tab ","0","1"
