"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1936","Decreto Nº 177 del 01/02/1936. D.O. Nº 4 tomo 120 del 01/06/1936","38241148.0","http://www.iadb.org/document.cfm?id=38241148","1","1","Ley básica de sistemas de energía eléctrica ","1","0"
"1945","Decreto ejecutivo del 10/03/1945. D.O. Nº 219 tomo 139 del 10/08/1945","38241116.0","http://www.iadb.org/document.cfm?id=38241116","1","1","Crea la Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL)","1","0"
"1948","Decreto legislativo Nº 137 del 09/18/1948. O.G Nº 210 tomo 145 del 09/27/1948 ","38241119.0","http://www.iadb.org/document.cfm?id=38241119","1","1","Ley de la Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL)","1","0"
"1970","Decreto Nº 169 del 11/30/1970. D.O. Nº 235 tomo 229 del 12/23/1970","38241120.0","http://www.iadb.org/document.cfm?id=38241120","1","1","Ley que regula el almacenamiento, transporte y distribución de productos de petróleo","0","1"
"1981","Decreto Nº 626 del 03/17/1981. D.O. Nº 52 tomo 270 del 03/17/1981","38241122.0","http://www.iadb.org/document.cfm?id=38241122","0","1","Ley de hidrocarburos","0","1"
"1992","Firma del Acuerdo de Chapultepec del 01/16/1992","","","1","0","El final de la guerra civil y el inicio del programa de liberalización económica ","1","1"
"1996","Decreto Nº 808 del 09/19/1996. D.O. Nº 189 tomo 33 del 10/09/1996","38241126.0","http://www.iadb.org/document.cfm?id=38241126","0","1","Crea la Superintendencia de Electricidad y Telecomunicaciones (SIGET)","1","0"
"1996","Decreto Nº 843 del 10/21/1996. D.O. Nº 201 tomo 333 del 10/25/1996","38241123.0","http://www.iadb.org/document.cfm?id=38241123","1","1","Ley General de Energía Eléctrica (GEL)","1","0"
"1998","","","","0","1","Crea la empresa Unidad de Transacciones (UT)","1","0"
"1998","Decreto Nº 354 del 07/20/1998. D.O. Nº 142 tomo 340 del 07/29/1998","39523413.0","http://www.iadb.org/document.cfm?id=39523413","1","0","Crea el Fondo de Inversiones en Electricidad y Telecomunicaciones (FINET)","1","0"
"1999","","","","1","0","Duke Energy privatiza las plantas térmicas de CEL","1","0"
"1999","","","","1","0","Crea Geotérmica Salvadoreña (LaGeo)","1","0"
"1999","","","","1","0","Crea la Empresa de Electricidad de El Salvador (ETESAL)","1","0"
"2000","Decreto ejecutivo Nº 90 del 10/24/2000. D.O. del 11/01/2000","39556994.0","http://www.iadb.org/document.cfm?id=39556994","1","1","Aprueba las regulaciones que permiten la comercialización libre de electricidad ","1","0"
"2001","","","","1","0","Crea la Dirección de Energía Eléctrica del Ministerio de Economia","1","0"
"2002","","","","1","0","Enel Green Power, una empresa privada italiana, adquiere LaGeo ","1","0"
"2003","Decreto legislativo Nº 1216 del 04/11/2003. D.O. Nº 83 tomo 359 del 05/09/2003","38241131.0","http://www.iadb.org/document.cfm?id=38241131","1","1","Reformas de GEL","1","0"
"2003","Acuerdo Nº 616 del 07/15/2003. D.O. Nº 131 tomo 360 del 07/16/2003","38241127.0","http://www.iadb.org/document.cfm?id=38241127","1","0","Liberaliza el preico de productos de petróleo, excepto GLP ","0","1"
"2004","Decreto Nº 528 del 12/22/2004. D.O. Nº 240 tomo 365 del 12/23/2004","38241135.0","http://www.iadb.org/document.cfm?id=38241135","0","1","Reduce las responsabilidades de la SIGET sobre las prácticas anticompetitivas ","1","0"
"2007","Decreto legislativo Nº 404 del 08/30/2007. D.O. Nº 181 tomo 377 del 01/10/2007","38241137.0","http://www.iadb.org/document.cfm?id=38241137","1","0","Crea el Consejo Nacional de Energía (CNE) ","1","1"
"2007","Decreto legislativo Nº 462 del 11/08/2007. D.O. Nº 462 tomo 377 del 12/20/2007","39557128.0","http://www.iadb.org/document.cfm?id=39557128","1","0","Ley de incentivos de impuestos para promover la energía renovable ","1","0"
"2008","Decreto Nº 630 del 05/22/2008. D.O. Nº 115 tomo 379 del 06/20/2008","38241142.0","http://www.iadb.org/document.cfm?id=38241142","0","1","Ley que regula el mercado de gas natural  ","0","1"
