"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1905","Law 6 of 1905","","","1","0","See spanish tab ","0","1"
"1928","Law 113 of 1928","","","1","0","See spanish tab ","1","0"
"1936","Law 109 of 1936","","","1","1","See spanish tab ","1","0"
"1946","Law 80 of 1946","","","1","1","See spanish tab ","1","0"
"1951","Decree 30 of 1951","","","1","0","See spanish tab ","0","1"
"1953","Decree-Law 1056 of 1953","","","1","1","See spanish tab ","0","1"
"1961","Law 10 of 1961","","","1","1","See spanish tab ","0","1"
"1974","Decree-Law 636 of 1974","","","1","0","See spanish tab ","1","1"
"1974","Decree 2310 of 1974","","","1","0","See spanish tab ","0","1"
"1987","Law 39 of 1987","","","1","0","See spanish tab ","0","1"
"1989","Law 51 of 1989","","","1","0","See spanish tab ","1","0"
"1991","National Constitution of the Republic of Colombia","","","1","0","See spanish tab ","1","1"
"1994","Law 142 of 1994","","","1","0","See spanish tab ","1","1"
"1994","Law 143 of 1994","","","1","0","See spanish tab ","1","0"
"1997","Law 401 of 1997","","","1","0","See spanish tab ","0","1"
"2000","Law 633 of 2000","","","1","1","See spanish tab ","1","0"
"2001","Law 697 of 2001","","","1","0","See spanish tab ","1","1"
"2002","Law 788 of 2002","","","1","0","See spanish tab ","1","0"
"2003","Decree 1760 of 2003","","","1","0","See spanish tab ","0","1"
"2003","Law 855 of 2003","","","1","1","See spanish tab ","1","0"
"2006","Resolution CREG 071 of 2006","","","0","1","See spanish tab ","1","0"
"2006","Law 1117 of 2006","","","1","1","See spanish tab ","1","1"
"2006","Law 1118 of 2006","","","1","0","See spanish tab ","0","1"
"2008","Law 1205 of 2008","","","1","1","See spanish tab ","0","1"
"2009","Law 1274 of 2009","","","1","1","See spanish tab ","0","1"
"2009","Resolution 181495 of 2009","","","1","1","See spanish tab ","0","1"
"2010","Resolution 124386 of 2010","","","0","1","See spanish tab ","0","1"
"2010","Resolution 180919 of 2010","","","0","1","See spanish tab ","1","0"
"2011","Legislative Act-Constitutonal Reform 05 of 2011","","","1","0","See spanish tab ","0","1"
"2012","Resolution 180742 of 2012","","","1","1","See spanish tab ","0","1"
"2012","Law 1530 of 2012","","","1","0","See spanish tab ","0","1"
"2013","Decree 1260 of 2013","","","1","0","See spanish tab ","0","1"
"2013","Resolution 90924 of 2013","","","1","1","See spanish tab ","0","1"
"2014","Law 1715 of 2014","","","1","1","See spanish tab ","1","1"
"2014","Decree 2682 of 2014","","","1","1","See spanish tab ","0","1"
