"player","acronym","public","role","product","marketshare"
"Ministerio Nacional de Ambiente, Energia y Telecomunicaciones","MINAET","1","Policy","Power","0.0"
"Autoridad Reguladora de los Servicios Publicos","ARESEP","1","Regulation","Power","0.0"
"Instituto Costarricense de Electricidad","ICE","1","Generation","Power","0.77"
"Instituto Costarricense de Electricidad","ICE","1","Transmission","Power","1.0"
"Instituto Costarricense de Electricidad","ICE","1","Dispatch Coordination","Power","1.0"
"Instituto Costarricense de Electricidad","ICE","1","Distribution/Final Sale","Power","0.78"
"Other Public Generation Companies (9)","","1","Generation","Power","0.07"
"El General","","0","Generation","Power","0.02"
"U. Fenosa","","0","Generation","Power","0.03"
"G.G.Ltd.","","0","Generation","Power","0.02"
"GDF Suarez","","0","Generation","Power","0.02"
"Other Private Generation Companies (22)","","0","Generation","Power","0.07"
"Empresa de Servicios Públicos de Heredia","ESPH","0","Distribution/Final Sale","Power","0.06"
"Junta Administrativa del Servicio Eléctrico de Cartago","JASEC","0","Distribution/Final Sale","Power","0.06"
"Cooperative Distribution Companies","","0","Distribution/Final Sale","Power","0.1"
"Industry","","0","Consumption","Power","0.213"
"Transport","","0","Consumption","Power","0.0"
"Residential","","0","Consumption","Power","0.392"
"Commercial","","0","Consumption","Power","0.351"
"Other","","0","Consumption","Power","0.044"
