"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1955","Ley 12378 de 1955","","","1","1","Normas del ejercicio de la industria eléctrica.","1","0"
"1969","Decreto Ley 17753 de 1969","","","1","0","Creación de Petroleos del Peru - Petroperú","0","1"
"1972","Ley 19521 de 1972","","","1","0","Nacionalización de industria eléctrica y Creación de Electroperú S.A.","1","0"
"1982","Ley 23406 de 1982","","","1","1","Ley General de Electricidad: transfiere a empresas regionales la distribución  y equipamiento  de infraestructura","1","0"
"1992","Ley 25962 de 1992","","","1","0","Ley Orgánica el Sector de Energía y Minas","1","1"
"1992","Ley 25844 de 1992","","","1","1","Ley de Concesiones Eléctricas","1","0"
"1993","Constitución Política del Perú de 1993","","","1","0","Definió el regimen económico de Perú","1","1"
"1993","Ley 26221 de 1993","","","1","1","Ley Orgánica de Hidrocarburos","0","1"
"1993","Ley 26225 de 1993","","","1","0","Organización y Funciones de Perúpetro","0","1"
"1994","Decreto Supremo 001 de 1994","","","0","1","Reglamento para la Comercialización de Gas Licuado de Petróleo","0","1"
"1996","Ley 26734 de 1996","","","1","0","Creación del OSINERG, desde 2007, OSINERGMIN","1","1"
"1997","Ley 26821 de 1997","","","1","1","Ley Orgánica para el Aprovechamiento Sostenible de los Recursos Naturales","1","1"
"1997","Ley 26876 de 1997","","","1","1","Ley Anti Monopolio y Anti Oligopolio del Sector Eléctrico","1","0"
"1999","Ley 27133 de 1999","","","1","0","Promoción del Desarrollo de la Industria de Gas Natural","0","1"
"2000","Ley 27332 de 2000","","","1","1","Ley  Marco de los Organismos Reguladores de la Inversión Privada en los Servicios Públicos","1","1"
"2000","Ley 27345 de 2000","","","1","0","Ley del Uso Eficiente de la Energía","1","1"
"2000","Decreto Supremo 017 de 2000","","","0","1","Reglamento de Comercialización de Electricidad en un Régimen de Libertad de Precios","1","0"
"2000","Ley 27377 de 2000","","","1","1","Ley de actualización de hidrocarburos con flexibilización de requerimientos a contratistas de E&P","0","1"
"2001","Ley 27506 de 2001","","","1","1","Ley del Cánon: participación de gobiernos regionales y locales de ingresos por la explotación económica de los recursos naturales","1","1"
"2001","Ley 27510 de 2001","","","1","0","Creación del Fondo de Compensación Social Eléctrica (FOSE)","1","0"
"2002","Ley 27624 de 2002","","","0","1","Devolución de impuesto general a las ventas e impuesto de promoción municipal para la exploración de hidrocarburos","0","1"
"2003","Ley 28109 de 2003","","","1","1","Ley de Promoción de la Inversión en la Explotación de Recursos y Reservas Marginales de Hidrocarburos a nivel nacional","0","1"
"2004","Ley  28451 de 2004","","","1","1","Fondo de Desarrollo Socioeconómico (FOCAM) del Proyecto CAMISEA","0","1"
"2005","Decreto Supremo 063 de 2005","","","1","1","Promoción del consumo masivo de gas natural","0","1"
"2006","Ley 28694 de 2006","","","1","1","Ley de contenido de azufre del diesel","1","0"
"2006","Ley 28832 de 2006","","","1","1","Ley para Asegurar Desarrollo Eficiente  de la Energía Eléctrica","1","0"
"2006","Ley 28840 de 2006","","","1","0","Fortalecimiento y Modernización de Petroperú","0","1"
"2006","Ley 28849 de 2006","","","1","0","Ley de descentralización del acceso al consumo de gas natural","0","1"
"2008","Decreto Legislativo 1002 de 2008","","","1","1","Promoción de la inversión para la generación de electricidad con el uso de energías renovables","1","0"
"2010","Decreto Supremo 064 de 2010","","","1","0","Política Energética Nacional del Perú 2010-2040","1","1"
"2011","Ley 29817 de 2011","","","1","0","Ley de construcción y operación del Sistema de Transporte de Hidrocarburos y la creación de polo industrial petroquímico","0","1"
"2012","Ley 29970 de 2012","","","1","0","Ley que afianza la seguridad energética y promueve el desarrollo de polo petroquímico en el sur del país","1","1"
"2012","Ley 29969 de 2012","","","1","1","Promoción de la masificación del Gas Natural","1","1"
"2012","Ley 29852 de 2012","","","1","1","Creación  del Sistema de Seguridad Energética en Hidrocarburos y el Fondo de Inclusión Social Energético (FISE)","1","1"
"2013","Ley 30130 de 2013","","","1","0","Medidas de fortalecimiento del gobierno corporativo de Petroperú y fija condiciones de participacion privada en la empresa","0","1"
"2013","Decreto Supremo 029 de 2013","","","1","0","Disposiciones para mejorar la operatividad de la masificación del gas natural","0","1"
