"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1937","","","","1","0","Crea la Comisión Federal de Electricidad (CFE)","1","0"
"1938","","","","1","0","Nacionalización de la industria petrolera","0","1"
"1938","","","","1","0","Crea Petroleos Mexicanos (PEMEX)","0","1"
"1958","Ley del 11/27/1958. D.O.F. del 11/29/1958","38241463.0","http://www.iadb.org/document.cfm?id=38241463","0","1","Promulga la ley del artículo 27 sobre asuntos petroleros - Reemplaza la ley de 1941 ","0","1"
"1960","","","","1","0","Nacionalización de la industria de energía  ","1","0"
"1960","Decreto del 01/06/1960. D.O.F. del 01/20/1960","38241472.0","http://www.iadb.org/document.cfm?id=38241472","0","1","Reforma de artículo 27 de la constitución  ","0","1"
"1960","Decreto del 12/23/1960. D.O.F. del 12/29/1960","38241471.0","http://www.iadb.org/document.cfm?id=38241471","0","0","Reforma de artículo 27 de la constitución","1","0"
"1971","Ley del 01/23/1971. D.O.F. del 02/06/1971","38241485.0","http://www.iadb.org/document.cfm?id=38241485","0","1","Promulga la ley orgánica de Petroleos Mexicanos (PEMEX)","0","1"
"1975","Ley del 12/08/1975. D.O.F. del 12/22/1975","38241490.0","http://www.iadb.org/document.cfm?id=38241490","0","1","Promulga la ley de sevicio público de electricidad (LSPEE)","1","0"
"1984","Ley del 12/27/1984. D.O.F. del 02/04/1985","39487669.0","http://www.iadb.org/document.cfm?id=39487669","0","1","Promulga la ley de energía nuclear  ","1","0"
"1989","","","","1","0","Crea la Comisión Nacional para el Ahorro de Energía (Conae)","1","0"
"1992","Decreto del 01/18/1992. D.O.F. del 12/23/1992","38241502.0","http://www.iadb.org/document.cfm?id=38241502","0","1","Reforma de la ley de servicio público de electricidad  ","1","0"
"1992","Ley del 07/15/1992. D.O.F. del 07/16/1992","38241499.0","http://www.iadb.org/document.cfm?id=38241499","1","0","Promulga la ley orgánica de Petroleos Mexicanos (PEMEX) - Reemplaza la ley de 1971","0","1"
"1993","Decreto del 10/01/1993. D.O.F. del 10/04/1993","38380914.0","http://www.iadb.org/document.cfm?id=38380914","1","0","Crea la Comisión Reguladora de Energía (CRE)","1","0"
"1994","Decreto del 02/08/1994. D.O.F. del 02/09/1994","38241506.0","http://www.iadb.org/document.cfm?id=38241506","1","0","Crea Luz y Fuerza del Centro (LFC)","1","0"
"1994","","","","1","0","Crea la Secretaría de Energía (SENER)","1","1"
"1995","Decreto del 05/10/1995. D.O.F. del 05/11/1995","38241508.0","http://www.iadb.org/document.cfm?id=38241508","1","0","Reforma de la ley de artículo 27 sobre asuntos petroleros - Liberalización del mercado de gas natural ","1","1"
"1995","Decreto del 08/14/1995. D.O.F. del 11/08/1995","38241514.0","http://www.iadb.org/document.cfm?id=38241514","1","0","Promueve regulación del mercado de gas natural ","0","1"
"1995","","","","1","0","Crea un subsidio para la electricidad consumida por clientes residentiales  ","1","0"
"1995","Decreto del 12/14/1995. D.O.F. del 12/21/1995","38380988.0","http://www.iadb.org/document.cfm?id=38380988","1","0","Reforma de la ley general de deuda pública y la ley de presupuesto - Creación de PIDIREGAS","1","1"
"1995","Ley del 10/30/1995. D.O.F. del 10/31/1995","38241513.0","http://www.iadb.org/document.cfm?id=38241513","1","1","Ley de la Comisión Reguladora de Energía (CRE)","1","0"
"1996","Decreto del 11/06/1996. D.O.F. del 11/13/1996","38241517.0","http://www.iadb.org/document.cfm?id=38241517","1","0","Reforma de la ley de artículo 27 sobre asuntos petroleros - Liberaliza el mercado de petroquímicos  ","0","1"
"1997","Decreto del 07/22/1997. D.O.F. del 07/25/1997","39487549.0","http://www.iadb.org/document.cfm?id=39487549","1","0","Reforma de las regulaciones de la LSPEE","1","0"
"1999","Decreto del 09/15/1999. D.O.F. del 09/20/1999","38241520.0","http://www.iadb.org/document.cfm?id=38241520","1","0","Otorga autonomía a la Comisión Nacional para el Ahorro de Energía (Conae) ","1","0"
"1999","Decreto del 12/29/2000. D.O.F. del 12/31/1999","38241522.0","http://www.iadb.org/document.cfm?id=38241522","1","0","Crea el Fondo para la Estabilización de los Ingresos Petroleros (FEIP)","0","1"
"2002","","","","1","0","Crea la Tarifa Doméstica de Alto Consumo (DAC) - subsidios específicos","1","0"
"2002","","","","1","0","Crea el Programa de Energía para el Campo ","1","0"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","0","1","Ley de petroleos mexicanos ","0","1"
