"player","acronym","public","role","product","marketshare"
"Ministerio de Energía y Minas","MINEM","1","Policy","Power","0.0"
"Ministerio de Energía y Minas","MINEM","1","Regulation","Power","0.0"
"Ministerio de Energía y Minas","MINEM","1","Generation","Power","0.0"
"Ministerio de Energía y Minas","MINEM","1","Transmission","Power","0.0"
"Ministerio de Energía y Minas","MINEM","1","Dispatch Coordination","Power","0.0"
"Ministerio de Energía y Minas","MINEM","1","Commercialization","Power","0.0"
"Ministerio de Energía y Minas","MINEM","1","Distribution/Final Sale","Power","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Regulation","Power","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Generation","Power","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Transmission","Power","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Dispatch Coordination","Power","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Commercialization","Power","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Distribution/Final Sale","Power","0.0"
"Comité de Operación Económica del Sistema Interconectado Nacional","COES","0","Dispatch Coordination","Power","1.0"
"Electroperú S.A. ","","1","Generation","Power","0.21"
"Edegel S.A.A ","","0","Generation","Power","0.18"
"Egenor","","0","Generation","Power","0.07"
"Enersur ","","0","Generation","Power","0.22"
"Kallpa Generación","","0","Generation","Power","0.16"
"Other PW generation companies","","0","Generation","Power","0.16"
"Red de Energía del Perú S.A.","REPSA","0","Transmission","Power","0.24"
"Consorcio Transmantaro S.A.","","0","Transmission","Power","0.09"
"Abengoa Transmisión Norte S.A","","0","Transmission","Power","0.05"
"Red Eléctrica del Sur S.A.","","0","Transmission","Power","0.02"
"Eteselva S.R.L.","","0","Transmission","Power","0.02"
"Other Transmission Companies","","0","Transmission","Power","0.58"
"Luz del Sur S.A.A","","0","Distribution/Final Sale","Power","0.16"
"Edelnor S.A.A","","0","Distribution/Final Sale","Power","0.2"
"Electronorte Medio S.A - Hidrandina","ELNM","1","Distribution/Final Sale","Power","0.12"
"Electrocentro S.A","","1","Distribution/Final Sale","Power","0.1"
"Electronoroeste S.A","ENOSA","1","Distribution/Final Sale","Power","0.07"
"Other private distribution/final sale companies","","0","Distribution/Final Sale","Power","0.05"
"Other public distribution/final sale companies","","1","Distribution/Final Sale","Power","0.3"
"Industry","","0","Consumption","Power","0.41"
"Residential","","0","Consumption","Power","0.35"
"Commercial","","0","Consumption","Power","0.21"
"Public Service","","0","Consumption","Power","0.03"
