"player","acronym","public","role","product","marketshare"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Policy","N/A","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Exploration/Production","Natural Gas","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Exploration/Production","Crude Oil","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Transformation","Natural Gas","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Transformation","Oil Derivatives","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Transformation","LPG","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Transportation","Natural Gas","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Transportation","Oil Derivatives","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Transportation","LPG","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Distribution/Final Sale","Natural Gas","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Distribution/Final Sale","LPG","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Imports","Natural Gas","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Imports","Crude Oil","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Imports","Oil Derivatives","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Imports","LPG","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Exports","Natural Gas","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Exports","Crude Oil","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Exports","Oil Derivatives","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Exports","LPG","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Consumption","Natural Gas","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Consumption","Oil Derivatives","0.0"
"Secretaría de los Recursos Naturales y Ambiente","SERNA","1","Consumption","LPG","0.0"
"Comisión Administradora del Petróleo","CAP","1","Regulation","N/A","0.0"
"Comisión Administradora del Petróleo","CAP","1","Exploration/Production","Natural Gas","0.0"
"Comisión Administradora del Petróleo","CAP","1","Exploration/Production","Crude Oil","0.0"
"Comisión Administradora del Petróleo","CAP","1","Transformation","Natural Gas","0.0"
"Comisión Administradora del Petróleo","CAP","1","Transformation","Oil Derivatives","0.0"
"Comisión Administradora del Petróleo","CAP","1","Transformation","LPG","0.0"
"Comisión Administradora del Petróleo","CAP","1","Transportation","Natural Gas","0.0"
"Comisión Administradora del Petróleo","CAP","1","Transportation","Oil Derivatives","0.0"
"Comisión Administradora del Petróleo","CAP","1","Transportation","LPG","0.0"
"Comisión Administradora del Petróleo","CAP","1","Distribution/Final Sale","Natural Gas","0.0"
"Comisión Administradora del Petróleo","CAP","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Comisión Administradora del Petróleo","CAP","1","Distribution/Final Sale","LPG","0.0"
"Comisión Administradora del Petróleo","CAP","1","Imports","Natural Gas","0.0"
"Comisión Administradora del Petróleo","CAP","1","Imports","Crude Oil","0.0"
"Comisión Administradora del Petróleo","CAP","1","Imports","Oil Derivatives","0.0"
"Comisión Administradora del Petróleo","CAP","1","Imports","LPG","0.0"
"Comisión Administradora del Petróleo","CAP","1","Exports","Natural Gas","0.0"
"Comisión Administradora del Petróleo","CAP","1","Exports","Crude Oil","0.0"
"Comisión Administradora del Petróleo","CAP","1","Exports","Oil Derivatives","0.0"
"Comisión Administradora del Petróleo","CAP","1","Exports","LPG","0.0"
"Comisión Administradora del Petróleo","CAP","1","Consumption","Natural Gas","0.0"
"Comisión Administradora del Petróleo","CAP","1","Consumption","Oil Derivatives","0.0"
"Comisión Administradora del Petróleo","CAP","1","Consumption","LPG","0.0"
"Puma Honduras - (Dippsa y Puma)","","0","Transportation","Oil Derivatives","0.46"
"Puma Honduras - (Dippsa y Puma)","","0","Distribution/Final Sale","Oil Derivatives","0.46"
"Puma Honduras - (Dippsa y Puma)","","0","Imports","Oil Derivatives","0.36"
"Grupo Terra - (Unopetrol, Hondupetrol, Texaco)","","0","Transportation","Oil Derivatives","0.46"
"Grupo Terra - (Unopetrol, Hondupetrol, Texaco)","","0","Distribution/Final Sale","Oil Derivatives","0.46"
"Grupo Terra - (Unopetrol, Hondupetrol, Texaco)","","0","Imports","Oil Derivatives","0.61"
"Grupo Terra - (Unopetrol, Hondupetrol, Texaco)","","0","Imports","LPG","0.03"
"Lufussa","","0","Imports","Oil Derivatives","0.03"
"Gas del Caribe/Tomza","","0","Imports","LPG","0.95"
"Gas del Caribe/Tomza","","0","Exports","LPG","1.0"
"Zeta Gas","","0","Imports","LPG","0.022"
"Other oil derivatives distributors","","0","Transportation","Oil Derivatives","0.08"
"Other oil derivatives distributors","","0","Distribution/Final Sale","Oil Derivatives","0.08"
"Industry","","0","Consumption","Oil Derivatives","0.192"
"Industry","","0","Consumption","LPG","0.247"
"Residential","","0","Consumption","Oil Derivatives","0.025"
"Residential","","0","Consumption","LPG","0.33"
"Commercial and Public Service","","0","Consumption","LPG","0.42"
"Transport","","0","Consumption","Oil Derivatives","0.783"
