"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1912","Law 4.273  10/21/1912","","","1","0","Creates UTE","1","0"
"1931","Law 8.764  10/14/1931 approved 10/15/1931 ","39858387.0","http://www.iadb.org/document.cfm?id=39858387","1","0","Creates ANCAP","0","1"
"1973","Law 14.142  07/03/1973 -- D.O. 07/11/1973","39858402.0","http://www.iadb.org/document.cfm?id=39858402","1","0","Declares public interest expropriation of Compania del Gas y Dique Seco de Montevideo","0","1"
"1974","Law 14.181  03/29/1974 -- D.O. 04/16/1974","39858443.0","http://www.iadb.org/document.cfm?id=39858443","1","0","Exploration and Exploitation of Hydrocarbons","0","1"
"1975","Law 14.416  08/28/1975 -- D.O. 09/08/1975","39858365.0","http://www.iadb.org/document.cfm?id=39858365","1","0","Approves the Accountability and Budget Provisions and Execution for the Year 1974","1","1"
"1977","Law 14.694  09/01/1977 -- D.O. 09/07/1977","39858432.0","http://www.iadb.org/document.cfm?id=39858432","1","0","National Electricity Legislation","1","0"
"1980","Law 15.031 07/04/1980  -- D.O. 08/12/1980","39858601.0","http://www.iadb.org/document.cfm?id=39858601","0","1","Organic Law of UTE","1","0"
"1982","Law 15.312  08/20/1982 -- D.O. 08/30/1982","39858370.0","http://www.iadb.org/document.cfm?id=39858370","1","0","Authority to Set Hydrocarbon Prices ","0","1"
"1991","Law 16.211 10/07/1991 -- D.O. 10/07/1991","39858583.0","http://www.iadb.org/document.cfm?id=39858583","1","0","National Public Services","1","1"
"1993","Decree 584 12/23/1993 -- D.O. 01/12/1994","39858659.0","http://www.iadb.org/document.cfm?id=39858659","1","0","MIEM and the  National Hydrocarbons Policy","0","1"
"1997","Law 16.832  06/17/1997 -- D.O. 06/27/1997","39858633.0","http://www.iadb.org/document.cfm?id=39858633","1","0","Regulatory Framework of the Electricity Sector","1","0"
"2001","Law 17.292  01/25/2001 -- D.O. 01/29/2001","39858616.0","http://www.iadb.org/document.cfm?id=39858616","1","0","Public Administration and Employment Promotion and Improvement","0","1"
"2002","Decree 276  06/28/2002 -- D.O. 07/30/2002","39858486.0","http://www.iadb.org/document.cfm?id=39858486","0","1","Extension of the Regulatory Framework of the Electricity Sector","1","0"
"2002","Decree 277  06/28/2002 -- D.O. 07/30/2002","39858628.0","http://www.iadb.org/document.cfm?id=39858628","0","1","Regulatory Framework Distribution Activities","1","0"
"2002","Decree 278  06/28/2002 -- D.O. 06/30/2002","39858640.0","http://www.iadb.org/document.cfm?id=39858640","0","1","Regulatory Framework Transmission Activities","1","0"
"2002","Decree 360  09/11/2002 -- D.O. 09/17/2002","39858357.0","http://www.iadb.org/document.cfm?id=39858357","0","1","Regulatory Framework Wholesale Electricity System","1","0"
"2002","Law 17.567 10/20/2002 -- D.O. 10/29/2002","39858654.0","http://www.iadb.org/document.cfm?id=39858654","1","0","Alternative and Renewable Fuels Developed from National Sources","0","1"
"2002","Law 17.453 02/28/2002 -- D.O. 03/01/2002","39858344.0","http://www.iadb.org/document.cfm?id=39858344","1","0","Adopts Measures Related to Fiscal Regime","0","1"
"2002","Law 17.598 12/13/2002 -- D.O. 12/24/2002","39858626.0","http://www.iadb.org/document.cfm?id=39858626","1","0","Regulatory Agency for Energy and Water Services","0","1"
"2003","Law 17.615 12/30/2002 -- D.O. 01/17/2003","39858586.0","http://www.iadb.org/document.cfm?id=39858586","0","1","Oil Products Sales Tax","0","1"
"2006","Decree 77  03/13/2006 -- D.O. 03/17/2006","39858645.0","http://www.iadb.org/document.cfm?id=39858645","0","1","Special Contracts for the Buying and Selling of Electricity","1","0"
"2007","Law 18.195  11/14/2007 -- D.O. 11/28/2007","39858378.0","http://www.iadb.org/document.cfm?id=39858378","0","1","Biofuels Promotion","0","1"
"2007","Law 18.109  04/02/2007 -- D.O. 04/12/2007","39858575.0","http://www.iadb.org/document.cfm?id=39858575","0","1","Modifies Oil Products Sales Tax","0","1"
"2009","Decree 354  08/03/2009 -- D.O. 08/12/2009","39858417.0","http://www.iadb.org/document.cfm?id=39858417","0","1","Diversification of the Energy Matrix","1","0"
"2009","Decree 403  08/24/2009 -- D.O. 09/08/2009","39858651.0","http://www.iadb.org/document.cfm?id=39858651","0","1","UTE Supply Agreements with Wind Power Generation Companies","1","0"
"2009","Law 18.585  09/18/2009  -- D.O. 10/07/2009","39858413.0","http://www.iadb.org/document.cfm?id=39858413","1","0","Development of Solar Power Generation","1","0"
"2009","Law 18.597  09/21/2009 -- D.O. 10/16/2009","39858621.0","http://www.iadb.org/document.cfm?id=39858621","0","1","Regulation and Promotion of Energy Efficient Use in the National Territory","1","0"
"2011","Law 18.860  12/23/2011 -- D.O. 01/11/2012 ","39858607.0","http://www.iadb.org/document.cfm?id=39858607","1","0","Promotes Energy Efficiency in Public Illumination Systems ","1","0"
