"country","product","role","open"
"Bolivia","Crude Oil","Exploration/Production","1"
"Bolivia","Crude Oil","Imports","0"
"Bolivia","Crude Oil","Exports","0"
"Bolivia","Natural Gas","Exploration/Production","1"
"Bolivia","Natural Gas","Imports","0"
"Bolivia","Natural Gas","Exports","0"
"Bolivia","Natural Gas","Distribution/Final Sale","0"
"Bolivia","LPG","Transformation","1"
"Bolivia","LPG","Imports","1"
"Bolivia","LPG","Exports","1"
"Bolivia","LPG","Distribution/Final Sale","1"
"Bolivia","Oil Products","Transformation","1"
"Bolivia","Oil Products","Imports","1"
"Bolivia","Oil Products","Exports","1"
"Bolivia","Oil Products","Distribution/Final Sale","1"
"Colombia","Crude Oil","Exploration/Production","1"
"Colombia","Crude Oil","Imports","1"
"Colombia","Crude Oil","Exports","1"
"Colombia","Natural Gas","Exploration/Production","1"
"Colombia","Natural Gas","Imports","1"
"Colombia","Natural Gas","Exports","1"
"Colombia","Natural Gas","Distribution/Final Sale","1"
"Colombia","LPG","Transformation","1"
"Colombia","LPG","Imports","1"
"Colombia","LPG","Exports","1"
"Colombia","LPG","Distribution/Final Sale","1"
"Colombia","Oil Products","Transformation","1"
"Colombia","Oil Products","Imports","1"
"Colombia","Oil Products","Exports","1"
"Colombia","Oil Products","Distribution/Final Sale","1"
"Costa Rica","Crude Oil","Exploration/Production","1"
"Costa Rica","Crude Oil","Imports","0"
"Costa Rica","Crude Oil","Exports","1"
"Costa Rica","Natural Gas","Exploration/Production","1"
"Costa Rica","Natural Gas","Imports","1"
"Costa Rica","Natural Gas","Exports","1"
"Costa Rica","Natural Gas","Distribution/Final Sale","1"
"Costa Rica","LPG","Transformation","0"
"Costa Rica","LPG","Imports","0"
"Costa Rica","LPG","Exports","1"
"Costa Rica","LPG","Distribution/Final Sale","1"
"Costa Rica","Oil Products","Transformation","0"
"Costa Rica","Oil Products","Imports","0"
"Costa Rica","Oil Products","Exports","1"
"Costa Rica","Oil Products","Distribution/Final Sale","1"
"Dominican Republic","Crude Oil","Exploration/Production","1"
"Dominican Republic","Crude Oil","Imports","1"
"Dominican Republic","Crude Oil","Exports","1"
"Dominican Republic","Natural Gas","Exploration/Production","1"
"Dominican Republic","Natural Gas","Imports","1"
"Dominican Republic","Natural Gas","Exports","1"
"Dominican Republic","Natural Gas","Distribution/Final Sale","1"
"Dominican Republic","LPG","Transformation","1"
"Dominican Republic","LPG","Imports","1"
"Dominican Republic","LPG","Exports","1"
"Dominican Republic","LPG","Distribution/Final Sale","1"
"Dominican Republic","Oil Products","Transformation","1"
"Dominican Republic","Oil Products","Imports","1"
"Dominican Republic","Oil Products","Exports","1"
"Dominican Republic","Oil Products","Distribution/Final Sale","1"
"Ecuador","Crude Oil","Exploration/Production","1"
"Ecuador","Crude Oil","Imports","1"
"Ecuador","Crude Oil","Exports","0"
"Ecuador","Natural Gas","Exploration/Production","1"
"Ecuador","Natural Gas","Imports","1"
"Ecuador","Natural Gas","Exports","1"
"Ecuador","Natural Gas","Distribution/Final Sale","1"
"Ecuador","LPG","Transformation","1"
"Ecuador","LPG","Imports","1"
"Ecuador","LPG","Exports","1"
"Ecuador","LPG","Distribution/Final Sale","1"
"Ecuador","Oil Products","Transformation","1"
"Ecuador","Oil Products","Imports","1"
"Ecuador","Oil Products","Exports","1"
"Ecuador","Oil Products","Distribution/Final Sale","1"
"El Salvador","Crude Oil","Exploration/Production","0"
"El Salvador","Crude Oil","Imports","1"
"El Salvador","Crude Oil","Exports","1"
"El Salvador","Natural Gas","Exploration/Production","0"
"El Salvador","Natural Gas","Imports","1"
"El Salvador","Natural Gas","Exports","1"
"El Salvador","Natural Gas","Distribution/Final Sale","1"
"El Salvador","LPG","Transformation","1"
"El Salvador","LPG","Imports","1"
"El Salvador","LPG","Exports","1"
"El Salvador","LPG","Distribution/Final Sale","1"
"El Salvador","Oil Products","Transformation","1"
"El Salvador","Oil Products","Imports","1"
"El Salvador","Oil Products","Exports","1"
"El Salvador","Oil Products","Distribution/Final Sale","1"
"Guatemala","Crude Oil","Exploration/Production","1"
"Guatemala","Crude Oil","Imports","1"
"Guatemala","Crude Oil","Exports","1"
"Guatemala","Natural Gas","Exploration/Production","1"
"Guatemala","Natural Gas","Imports","1"
"Guatemala","Natural Gas","Exports","1"
"Guatemala","Natural Gas","Distribution/Final Sale","1"
"Guatemala","LPG","Transformation","1"
"Guatemala","LPG","Imports","1"
"Guatemala","LPG","Exports","1"
"Guatemala","LPG","Distribution/Final Sale","1"
"Guatemala","Oil Products","Transformation","1"
"Guatemala","Oil Products","Imports","1"
"Guatemala","Oil Products","Exports","1"
"Guatemala","Oil Products","Distribution/Final Sale","1"
"Honduras","Crude Oil","Exploration/Production","1"
"Honduras","Crude Oil","Imports","1"
"Honduras","Crude Oil","Exports","1"
"Honduras","Natural Gas","Exploration/Production","1"
"Honduras","Natural Gas","Imports","1"
"Honduras","Natural Gas","Exports","1"
"Honduras","Natural Gas","Distribution/Final Sale","1"
"Honduras","LPG","Transformation","1"
"Honduras","LPG","Imports","1"
"Honduras","LPG","Exports","1"
"Honduras","LPG","Distribution/Final Sale","1"
"Honduras","Oil Products","Transformation","1"
"Honduras","Oil Products","Imports","1"
"Honduras","Oil Products","Exports","1"
"Honduras","Oil Products","Distribution/Final Sale","1"
"Mexico","Crude Oil","Exploration/Production","1"
"Mexico","Crude Oil","Imports","1"
"Mexico","Crude Oil","Exports","1"
"Mexico","Natural Gas","Exploration/Production","1"
"Mexico","Natural Gas","Imports","1"
"Mexico","Natural Gas","Exports","1"
"Mexico","Natural Gas","Distribution/Final Sale","1"
"Mexico","LPG","Transformation","1"
"Mexico","LPG","Imports","1"
"Mexico","LPG","Exports","1"
"Mexico","LPG","Distribution/Final Sale","1"
"Mexico","Oil Products","Transformation","1"
"Mexico","Oil Products","Imports","1"
"Mexico","Oil Products","Exports","1"
"Mexico","Oil Products","Distribution/Final Sale","1"
"Nicaragua","Crude Oil","Exploration/Production","1"
"Nicaragua","Crude Oil","Imports","1"
"Nicaragua","Crude Oil","Exports","1"
"Nicaragua","Natural Gas","Exploration/Production","1"
"Nicaragua","Natural Gas","Imports","1"
"Nicaragua","Natural Gas","Exports","1"
"Nicaragua","Natural Gas","Distribution/Final Sale","1"
"Nicaragua","LPG","Transformation","1"
"Nicaragua","LPG","Imports","1"
"Nicaragua","LPG","Exports","1"
"Nicaragua","LPG","Distribution/Final Sale","1"
"Nicaragua","Oil Products","Transformation","1"
"Nicaragua","Oil Products","Imports","1"
"Nicaragua","Oil Products","Exports","1"
"Nicaragua","Oil Products","Distribution/Final Sale","1"
"Panama","Crude Oil","Exploration/Production","1"
"Panama","Crude Oil","Imports","1"
"Panama","Crude Oil","Exports","1"
"Panama","Natural Gas","Exploration/Production","1"
"Panama","Natural Gas","Imports","1"
"Panama","Natural Gas","Exports","1"
"Panama","Natural Gas","Distribution/Final Sale","1"
"Panama","LPG","Transformation","1"
"Panama","LPG","Imports","1"
"Panama","LPG","Exports","1"
"Panama","LPG","Distribution/Final Sale","1"
"Panama","Oil Products","Transformation","1"
"Panama","Oil Products","Imports","1"
"Panama","Oil Products","Exports","1"
"Panama","Oil Products","Distribution/Final Sale","1"
"Peru","Crude Oil","Exploration/Production","1"
"Peru","Crude Oil","Imports","1"
"Peru","Crude Oil","Exports","1"
"Peru","Natural Gas","Exploration/Production","1"
"Peru","Natural Gas","Imports","1"
"Peru","Natural Gas","Exports","1"
"Peru","Natural Gas","Distribution/Final Sale","1"
"Peru","LPG","Transformation","1"
"Peru","LPG","Imports","1"
"Peru","LPG","Exports","1"
"Peru","LPG","Distribution/Final Sale","1"
"Peru","Oil Products","Transformation","1"
"Peru","Oil Products","Imports","1"
"Peru","Oil Products","Exports","1"
"Peru","Oil Products","Distribution/Final Sale","1"
