"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1928","Law No 77 of 07/31/1928","38241007.0","http://www.iadb.org/document.cfm?id=38241007","0","0","Creates the Servicio Nacional de Electricidad (SNE)","1","0"
"1941","Law No 258 of 08/18/1941","38241008.0","http://www.iadb.org/document.cfm?id=38241008","1","0","Law of the SNE","1","0"
"1949","","","","1","1","Reforms the constitution","1","0"
"1949","Law No 449 of 04/08/1949","38241014.0","http://www.iadb.org/document.cfm?id=38241014","1","0","Creates the Instituto Costarricense de Electricidad (ICE)","1","0"
"1968","Law No 4197 of 09/20/1968","38241015.0","http://www.iadb.org/document.cfm?id=38241015","0","1","Nationalizes the main private power company","1","1"
"1974","Law No 5508 of 04/17/1974","38241025.0","http://www.iadb.org/document.cfm?id=38241025","1","0","Nationalizes the Refinadora Costarricense de Petróleo (RECOPE)","0","1"
"1976","Law No 5961 of 12/06/1976","38241043.0","http://www.iadb.org/document.cfm?id=38241043","1","0","Law of Geothermal Resources as a Public Interest","0","1"
"1981","Law No 6588 of 07/30/1981","38241044.0","http://www.iadb.org/document.cfm?id=38241044","1","1","Regulates RECOPE and strengthens RECOPE's monopoly","1","0"
"1990","Law No 7200 of 09/28/1990. O.G. 197 of 10/18/1990","38241050.0","http://www.iadb.org/document.cfm?id=38241050","1","1","Authorizes autonomous and parallel electricity generation","1","0"
"1993","Law No 7356 of 08/24/1993. O.G. 170 of 09/06/1993","38241052.0","http://www.iadb.org/document.cfm?id=38241052","1","0","State hydrocarbon monopoly law","0","1"
"1994","Law 7399 of 05/03/1994. O.G. 95 of 05/18/1994","38241056.0","http://www.iadb.org/document.cfm?id=38241056","1","0","Hydrocarbon Law","1","1"
"1994","Law No 7447 of 11/03/1994. O.G. 236 of 12/13/1994","38241061.0","http://www.iadb.org/document.cfm?id=38241061","0","1","Regulates energy use","1","0"
"1994","Law No 23335 of 05/20/1994. O.G. 107 of 06/06/1994","38241055.0","http://www.iadb.org/document.cfm?id=38241055","1","0","Creates the Comisión Nacional de Conservación de Energía (CONACE)","1","1"
"1995","Law No 7508 of 05/09/1995. O.G. 104 of 05/31/1995","38241064.0","http://www.iadb.org/document.cfm?id=38241064","0","1","Authorizes autonomous and parallel electricity generation","0","1"
"1995","Law No 7554 of 10/04/1995. O.G. 215 of 11/13/1995","38241062.0","http://www.iadb.org/document.cfm?id=38241062","1","0","Organic Law of the Environment","1","0"
"1996","Law No 7593 of 08/09/1996. O.G. 169 of 09/05/1996","38241065.0","http://www.iadb.org/document.cfm?id=38241065","0","1","Creates the Agencia Reguladora de los Servicios Públicos (ARESEP)","1","0"
"1998","Law No 7789 of 04/30/1998. O.G. 100 of 05/26/1998","38241072.0","http://www.iadb.org/document.cfm?id=38241072","0","1","Transforms the Heredia Public Service Company","1","0"
"1998","Law No 7823 of 09/09/1998. O.G. 181 of 09/17/1998","38241073.0","http://www.iadb.org/document.cfm?id=38241073","1","0","Repeals law No. 3077","1","0"
"1998","Law No 7848 of 11/20/1998. O.G. 235 of 12/03/1998","38241074.0","http://www.iadb.org/document.cfm?id=38241074","1","0","Approves the electricity market in Central America","1","0"
"2000","","","","1","0","Miravalle III begins operations","1","0"
"2000","","","","0","0","Starts the "moratorium" on granting concessions to build hydroelectric plants","1","0"
"2000","","","","1","0","Grants the first two concession for oil exploration","0","1"
"2001","Decree of Law No 30065 of 11/28/2001. O.G. 10 of 01/15/2002","38241949.0","http://www.iadb.org/document.cfm?id=38241949","0","1","Regulates concessions for public electricity use","1","0"
"2002","","","","0","1","Regulates hydrocarbon derivative distribution and use","1","1"
"2003","Legislative Decree No 8345 of 02/26/2003. O.G. 59 of 03/25/2003","38241082.0","http://www.iadb.org/document.cfm?id=38241082","0","1","Law of Coops and Public Service Companies","1","0"
"2009","Law No 8723 of 04/22/2009. O.G. 87 of 05/07/2009","38241950.0","http://www.iadb.org/document.cfm?id=38241950","0","1","End of the "moratorium" on granting concessions to build hydroelectric plants","1","0"
"2011","","","","1","0","President signs a "moratorium" for concessions for oil exploration","0","1"
"2012","","","","1","0","The Supreme Court suspends the moratorium decree","0","1"
