"player","acronym","public","role","product","marketshare"
"Secretaría Nacional de Energía","SNE","1","Policy","N/A","0.0"
"Secretaría Nacional de Energía","SNE","1","Regulation","N/A","0.0"
"Secretaría Nacional de Energía","SNE","1","Exploration/Production","Natural Gas","0.0"
"Secretaría Nacional de Energía","SNE","1","Exploration/Production","Crude Oil","0.0"
"Secretaría Nacional de Energía","SNE","1","Transformation","Natural Gas","0.0"
"Secretaría Nacional de Energía","SNE","1","Transformation","Oil Derivatives","0.0"
"Secretaría Nacional de Energía","SNE","1","Transformation","LPG","0.0"
"Secretaría Nacional de Energía","SNE","1","Transportation","Natural Gas","0.0"
"Secretaría Nacional de Energía","SNE","1","Transportation","Oil Derivatives","0.0"
"Secretaría Nacional de Energía","SNE","1","Transportation","LPG","0.0"
"Secretaría Nacional de Energía","SNE","1","Distribution/Final Sale","Natural Gas","0.0"
"Secretaría Nacional de Energía","SNE","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Secretaría Nacional de Energía","SNE","1","Distribution/Final Sale","LPG","0.0"
"Secretaría Nacional de Energía","SNE","1","Imports","Natural Gas","0.0"
"Secretaría Nacional de Energía","SNE","1","Imports","Crude Oil","0.0"
"Secretaría Nacional de Energía","SNE","1","Imports","Oil Derivatives","0.0"
"Secretaría Nacional de Energía","SNE","1","Imports","LPG","0.0"
"Secretaría Nacional de Energía","SNE","1","Exports","Natural Gas","0.0"
"Secretaría Nacional de Energía","SNE","1","Exports","Crude Oil","0.0"
"Secretaría Nacional de Energía","SNE","1","Exports","Oil Derivatives","0.0"
"Secretaría Nacional de Energía","SNE","1","Exports","LPG","0.0"
"Secretaría Nacional de Energía","SNE","1","Consumption","Natural Gas","0.0"
"Secretaría Nacional de Energía","SNE","1","Consumption","Oil Derivatives","0.0"
"Secretaría Nacional de Energía","SNE","1","Consumption","LPG","0.0"
"Chevron-Texaco","","0","Imports","Oil Derivatives","0.836"
"Chevron-Texaco","","0","Imports","LPG","0.371"
"Puma","","0","Imports","Oil Derivatives","0.164"
"Tropigas - Petroport","","0","Transportation","LPG","0.629"
"Tropigas - Petroport","","0","Distribution/Final Sale","LPG","0.629"
"Tropigas - Petroport","","0","Imports","LPG","0.629"
"Delta","","0","Transportation","Oil Derivatives","0.514"
"Delta","","0","Distribution/Final Sale","Oil Derivatives","0.514"
"Petrolera Nacional","","0","Transportation","Oil Derivatives","0.215"
"Petrolera Nacional","","0","Distribution/Final Sale","Oil Derivatives","0.215"
"Puma","","0","Transportation","Oil Derivatives","0.116"
"Puma","","0","Distribution/Final Sale","Oil Derivatives","0.116"
"Other oil derivatives distributors","","0","Transportation","Oil Derivatives","0.155"
"Other oil derivatives distributors","","0","Distribution/Final Sale","Oil Derivatives","0.155"
"Panagas","","0","Transportation","LPG","0.371"
"Panagas","","0","Distribution/Final Sale","LPG","0.371"
"Industry","","0","Consumption","Oil Derivatives","0.274485822743"
"Industry","","0","Consumption","LPG","0.263359358899"
"Transport","","0","Consumption","Oil Derivatives","0.698229004578"
"Transport","","0","Consumption","LPG","0.00763198881047"
"Residential","","0","Consumption","Oil Derivatives","0.00436255364577"
"Residential","","0","Consumption","LPG","0.603055498309"
"Commercial and Public Service","","0","Consumption","Oil Derivatives","0.0229226190334"
"Commercial and Public Service","","0","Consumption","LPG","0.125953153981"
"Ministerio de Comercio e industria","MICI","1","Regulation","N/A","0.0"
"Ministerio de Comercio e industria","MICI","1","Distribution/Final Sale","Natural Gas","0.0"
"Ministerio de Comercio e industria","MICI","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Ministerio de Comercio e industria","MICI","1","Distribution/Final Sale","LPG","0.0"
"Ministerio de Comercio e industria","MICI","1","Imports","Natural Gas","0.0"
"Ministerio de Comercio e industria","MICI","1","Imports","Crude Oil","0.0"
"Ministerio de Comercio e industria","MICI","1","Imports","Oil Derivatives","0.0"
"Ministerio de Comercio e industria","MICI","1","Imports","LPG","0.0"
"Ministerio de Comercio e industria","MICI","1","Exports","Natural Gas","0.0"
"Ministerio de Comercio e industria","MICI","1","Exports","Crude Oil","0.0"
"Ministerio de Comercio e industria","MICI","1","Exports","Oil Derivatives","0.0"
"Ministerio de Comercio e industria","MICI","1","Exports","LPG","0.0"
"Autoridad de Protección al Consumidor y Defensa de la Competencia","ACODECO","1","Regulation","N/A","0.0"
"Autoridad de Protección al Consumidor y Defensa de la Competencia","ACODECO","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Autoridad de Protección al Consumidor y Defensa de la Competencia","ACODECO","1","Distribution/Final Sale","LPG","0.0"
