gdp,period,population
5375376001,2005-2008,9483744
3338897647,1997,8111954
2960306120,2003,8976555
,1986,6527545
,1987,6670566
,1984,6240330
,1985,6384196
,1982,5955265
,1983,6096690
,1980,5688832
,1981,5818673
3794054405,1999-2002,8620225
,1988,6813344
,1989,6956301
2907452192,1996,7965548
8776370457,2014,10572029
7516834160,2011,10144890
6622541528,2010,9999617
8452718010,2013,10431249
7890216507,2012,10288828
,1971-1974,4919579
4310358095,2005,9263409
8877465911,2015,10711067
,1984-1987,6455659
3473540601,1991,7243391
,1990,7099733
1878248741,1993,7530703
2257121668,1992,7386974
2813320255,1995,7819806
2167564194,1994,7674911
,1979,5566265
,1978,5450550
,1977,5341418
,1976,5238242
,1975,5140357
,1974,5047948
,1973,4960655
,1972,4876558
,1971,4793157
3472191962,2002,8834739
4153736347,1999,8404396
3953846310,2000,8549202
3596443004,2001,8692564
4757289751,2006,9409479
5885325589,2007,9556958
3537720277,2004,9119182
3723909226,1998,8258484
6548530572,2008,9705130
6584649419,2009,9852953
