gdp,period,population
44909816578,2005-2008,2011695
20749144657,1997,1985956
29697443017,2003,1995733
,1986,1965964
,1987,1989776
,1984,1932154
,1985,1941641
,1982,1910334
,1983,1922321
,1980,1901315
,1981,1906531
21867790493,1999-2002,1989640
,1988,1995196
,1989,1996351
21480028328,1996,1988628
49491396798,2014,2061980
51287600778,2011,2052843
48016423841,2010,2048583
47675792660,2013,2059953
46240004973,2012,2057159
,1971-1974,1758349
36346971769,2005,2000474
42746980843,2015,2063768
,1984-1987,1957383
,1991,1999429
,1990,1998161
,1993,1991746
,1992,1996498
21273048928,1995,1989872
,1994,1989443
,1979,1882599
,1978,1862548
,1977,1842377
,1976,1820249
,1975,1793581
,1974,1776132
,1973,1766697
,1972,1752233
,1971,1738335
23563581047,2002,1994530
22689993408,1999,1983045
20342197589,2000,1988925
20875389930,2001,1992060
39587730523,2006,2006868
48114700246,2007,2018122
34470229197,2004,1997012
22125432775,1998,1981629
55589863776,2008,2021316
50244790219,2009,2039669
