gdp,period,population
2722434545,2005-2008,498890
929607500,1997,461569
1271196078,2003,487641
891000000,1986,376973
979850000,1987,383916
864150000,1984,367611
873250000,1985,371469
915150000,1982,363993
883600000,1983,365242
794900000,1980,362777
889050000,1981,363309
904869064,1999-2002,481717
1160900000,1988,391851
542520000,1989,400133
860630922,1996,453653
5210303030,2014,538248
4422276621,2011,523439
4368398047,2010,518141
5130909090,2013,533450
4980000000,2012,528535
308037499,1971-1974,369345
1793776693,2005,491999
4877888603,2015,542975
902062500,1984-1987,374992
448300000,1991,416068
388300000,1990,408276
428794117,1993,430901
404600000,1992,423572
693970588,1995,445830
605492537,1994,438280
783000000,1979,362137
735500000,1978,361463
641000000,1977,361053
505499999,1976,361368
465000000,1975,362651
368600000,1974,365104
305299999,1973,368342
287600000,1972,371318
270650000,1971,372619
1078402127,2002,486271
885444186,1999,475637
892164393,2000,480751
763465550,2001,484210
2626380435,2006,495953
2936612021,2007,500953
1484092538,2004,489312
945000000,1998,469108
3532969034,2008,506657
3875409836,2009,512522
