gdp,period,population
4335500000,2005-2008,275630
2549097488,1997,266944
3275000000,2003,272261
1547755116,1986,256738
1704370234,1987,257609
1346890012,1984,255195
1409536059,1985,255929
1163923780,1982,253836
1236016453,1983,254515
1012280570,1980,252197
1114204695,1981,253080
3104870542,1999-2002,270230
1812757839,1988,258524
2006165080,1989,259454
2411872813,1996,265940
4354500000,2014,283380
4358000000,2011,280602
4445500000,2010,279566
4281000000,2013,282503
4313000000,2012,281580
,1971-1974,242249
3897500000,2005,274013
4451000000,2015,284215
1502137855,1984-1987,256367
2020583614,1991,261281
2012131370,1990,260374
2063342027,1993,263091
1957000000,1992,262184
2262218367,1995,264962
2151344808,1994,264015
,1979,251176
,1978,250035
,1977,248785
,1976,247444
,1975,246033
,1974,244539
,1973,242980
,1972,241441
,1971,240038
3169500000,2002,271479
3011982169,1999,268920
3121500000,2000,269838
3116500000,2001,270686
4303500000,2006,275040
4546000000,2007,276154
3514500000,2004,273091
2874260304,1998,267949
4595000000,2008,277315
4602000000,2009,278466
