gdp,period,population
1486565081,2005-2008,744983
749138009,1997,733854
741929342,2003,742537
504651117,1986,755598
354591840,1987,745149
437631610,1984,773302
453488351,1985,765043
482000000,1982,785466
489333333,1983,780367
603200000,1980,786614
570357116,1981,787728
706541310,1999-2002,742169
413799989,1988,734872
379779379,1989,726237
705406001,1996,730193
3077086275,2014,763893
2576602497,2011,755883
2259288396,2010,753362
2990006533,2013,761033
2851154075,2012,758410
327108283,1971-1974,716786
824880550,2005,742495
3166029055,2015,767085
437590729,1984-1987,759773
336708419,1991,717502
396582263,1990,720282
442273433,1993,719910
368281378,1992,717621
621626785,1995,726695
540874934,1994,723230
530439999,1979,781677
507079999,1978,773227
449880000,1977,762445
454439999,1976,751008
494791647,1975,740167
433954536,1974,730227
307047632,1973,720919
285380965,1972,712188
282050000,1971,703811
722460886,2002,743107
694754988,1999,740189
712667896,2000,742218
696281471,2001,743163
1458446872,2006,743705
1740334781,2007,745638
785918769,2004,742162
717530683,1998,737316
1922598121,2008,748096
2025565089,2009,750749
