country,flow,value
Argentina,Heat and Waste,190.73754479452055
Argentina,Industry,295.3458826027397
Argentina,Transport,279.9623613972603
Argentina,Residential,186.70395624657533
Argentina,Commercial,51.976086136986304
Argentina,Other,136.32850112328765
Argentina,Total Consumption,950.3168477534247
Argentina,Hydrocarbon Heat and Waste,-7.1064249589040855
Argentina,Electricity Heat and Waste,197.84396975342463
Austria,Heat and Waste,58.056772986301326
Austria,Industry,120.83952832876712
Austria,Transport,130.3460362739726
Austria,Residential,126.94851098630139
Austria,Commercial,51.02200128767124
Austria,Other,43.5435537260274
Austria,Total Consumption,452.2233659726028
Austria,Hydrocarbon Heat and Waste,2.1995221369862747
Austria,Electricity Heat and Waste,55.85725084931505
Belgium,Heat and Waste,276.1815875616437
Belgium,Industry,257.4946462191781
Belgium,Transport,164.3684220547945
Belgium,Residential,190.2570582739726
Belgium,Commercial,69.13137879452056
Belgium,Other,149.82005895890413
Belgium,Total Consumption,821.1964075616439
Belgium,Hydrocarbon Heat and Waste,17.775089342465776
Belgium,Electricity Heat and Waste,258.40649821917793
Bolivia,Heat and Waste,8.817728931506846
Bolivia,Industry,18.301082109589043
Bolivia,Transport,24.585703616438355
Bolivia,Residential,13.459165260273972
Bolivia,Commercial,1.5971367123287672
Bolivia,Other,0.4859689589041096
Bolivia,Total Consumption,58.42905665753425
Bolivia,Hydrocarbon Heat and Waste,0.455343616438352
Bolivia,Electricity Heat and Waste,8.362385315068494
Brazil,Heat and Waste,282.09579304109593
Brazil,Industry,1134.085128958904
Brazil,Transport,957.837407671233
Brazil,Residential,415.02901808219184
Brazil,Commercial,162.27724334246577
Brazil,Other,423.16140205479456
Brazil,Total Consumption,3092.3902402739727
Brazil,Hydrocarbon Heat and Waste,26.90290739726038
Brazil,Electricity Heat and Waste,255.19288564383555
Andean,Heat and Waste,249.93111041095904
Andean,Industry,565.9303624931507
Andean,Transport,509.5894320547946
Andean,Residential,263.5529615068493
Andean,Commercial,77.60620430136986
Andean,Other,132.98608136986303
Andean,Total Consumption,1549.6651019726028
Andean,Hydrocarbon Heat and Waste,36.36129841095908
Andean,Electricity Heat and Waste,213.56981199999996
Canada,Heat and Waste,818.9295498356166
Canada,Industry,1106.7260545753425
Canada,Transport,1047.1024288219178
Canada,Residential,619.9744324109589
Canada,Commercial,550.6858301369863
Canada,Other,486.00930402739726
Canada,Total Consumption,3794.2020542191785
Canada,Hydrocarbon Heat and Waste,-20.562758630137296
Canada,Electricity Heat and Waste,839.4923084657539
Central America,Heat and Waste,75.7569959178082
Central America,Industry,70.61280191780821
Central America,Transport,102.19564320547947
Central America,Residential,164.28295224657535
Central America,Commercial,18.123133808219176
Central America,Other,7.761787205479452
Central America,Total Consumption,362.97641879452055
Central America,Hydrocarbon Heat and Waste,8.568288027397244
Central America,Electricity Heat and Waste,67.18870789041095
Chile,Heat and Waste,66.30655745205482
Chile,Industry,133.35095471232876
Chile,Transport,113.77250463013698
Chile,Residential,93.90840545205481
Chile,Commercial,12.508333726027397
Chile,Other,51.93417460273972
Chile,Total Consumption,405.47443336986305
Chile,Hydrocarbon Heat and Waste,5.463661506849348
Chile,Electricity Heat and Waste,60.84289594520547
China,Heat and Waste,4338.327313452055
China,Industry,5935.530397424657
China,Transport,1722.0829484657534
China,Residential,5694.439126438357
China,Commercial,519.1524312054795
China,Other,1757.9938233972603
China,Total Consumption,15117.173867232876
China,Hydrocarbon Heat and Waste,62.64045293150684
China,Electricity Heat and Waste,4275.686860520548
Colombia,Heat and Waste,46.71870890410952
Colombia,Industry,146.79429520547944
Colombia,Transport,126.49222350684931
Colombia,Residential,84.53285347945206
Colombia,Commercial,23.833404630136986
Colombia,Other,61.95930515068493
Colombia,Total Consumption,443.6120418082192
Colombia,Hydrocarbon Heat and Waste,-3.379130000000032
Colombia,Electricity Heat and Waste,50.09783890410955
Costa Rica,Heat and Waste,8.845683342465751
Costa Rica,Industry,11.421284684931507
Costa Rica,Transport,19.990918219178084
Costa Rica,Residential,6.538520657534248
Costa Rica,Commercial,4.67312602739726
Costa Rica,Other,3.971434164383562
Costa Rica,Total Consumption,46.59530383561644
Costa Rica,Hydrocarbon Heat and Waste,0.0010241917808219148
Costa Rica,Electricity Heat and Waste,8.84465915068493
Croatia,Heat and Waste,21.23426695890413
Croatia,Industry,27.991502767123286
Croatia,Transport,30.35142136986301
Croatia,Residential,33.454481479452056
Croatia,Commercial,9.453872520547945
Croatia,Other,19.281514794520547
Croatia,Total Consumption,116.25460328767123
Croatia,Hydrocarbon Heat and Waste,-0.1369605479451934
Croatia,Electricity Heat and Waste,21.371227506849323
Southern Cone,Heat and Waste,551.9435175616441
Southern Cone,Industry,1598.5288901917809
Southern Cone,Transport,1386.2797835342467
Southern Cone,Residential,737.7105993972604
Southern Cone,Commercial,231.8224960273973
Southern Cone,Other,617.5590267123288
Southern Cone,Total Consumption,4571.900976602739
Southern Cone,Hydrocarbon Heat and Waste,31.22859142465768
Southern Cone,Electricity Heat and Waste,520.7149261369864
Cuba,Heat and Waste,56.54631101369863
Cuba,Industry,120.50799142465753
Cuba,Transport,14.684219123287672
Cuba,Residential,32.734394328767124
Cuba,Commercial,5.989192383561643
Cuba,Other,21.830266246575345
